[0212/231926.273:ERROR:process_info.cc(330)] VirtualQueryEx: Access is denied. (0x5)
[0212/231926.274:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0212/231926.276:ERROR:process_reader_win.cc(142)] SuspendThread: Access is denied. (0x5)
[0212/231926.276:ERROR:exception_snapshot_win.cc(87)] thread ID 4052 not found in process
[0212/231926.276:WARNING:crash_report_exception_handler.cc(60)] ProcessSnapshotWin::Initialize failed
[0212/231926.276:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess: An attempt was made to access an exiting process.  (0xc000010a)
[0215/223612.947:ERROR:process_info.cc(608)] range at 0xe007e000, size 0x2000 fully unreadable
[0215/223612.948:ERROR:process_info.cc(608)] range at 0xfb10a000, size 0x6000 fully unreadable
[0215/223612.948:ERROR:process_info.cc(608)] range at 0xfb20b000, size 0x5000 fully unreadable
[0215/223612.948:ERROR:process_info.cc(608)] range at 0xfb30b000, size 0x5000 fully unreadable
[0215/223612.948:ERROR:process_info.cc(608)] range at 0xfb40b000, size 0x5000 fully unreadable
[0215/223612.949:ERROR:process_info.cc(608)] range at 0xfb50a000, size 0x6000 fully unreadable
[0215/223612.949:ERROR:process_info.cc(608)] range at 0xfb60b000, size 0x5000 fully unreadable
[0215/223612.949:ERROR:process_info.cc(608)] range at 0xfb70b000, size 0x5000 fully unreadable
[0215/223612.949:ERROR:process_info.cc(608)] range at 0xfb80a000, size 0x6000 fully unreadable
[0215/223612.949:ERROR:process_info.cc(608)] range at 0xfb90a000, size 0x6000 fully unreadable
[0215/223612.949:ERROR:process_info.cc(608)] range at 0xfba0b000, size 0x5000 fully unreadable
